,name,salary
621,Khris Middleton,"$31,000,000"
622,Jordan Poole,"$29,651,786"
623,Malcolm Brogdon,"$22,500,000"
624,Marcus Smart,"$20,210,285"
625,Richaun Holmes,"$12,648,321"
626,Alex Sarr,"$11,245,680"
627,Bilal Coulibaly,"$6,945,240"
628,Saddiq Bey,"$6,440,678"
629,Corey Kispert,"$5,705,887"
630,C. Carrington,"$4,454,880"
631,Alex Len,"$3,303,771"
632,Reggie Jackson,"$3,303,771"
633,Kyshawn George,"$2,825,520"
634,AJ Johnson,"$2,795,294"
635,Anthony Gill,"$2,237,691"
636,J. Champagnie,"$2,224,662"
637,Colby Jones,"$2,120,693"
638,Sidy Cissoko,"$1,891,857"
639,Ryan Rollins,"$600,000"
640,JT Thor,"$578,577"
641,Tristan Vukcevic,"$578,577"
642,Jaylen Martin,"$209,114"
643,Jaylen Nowell,"$195,147"
644,Jalen McDaniels,"$139,391"
645,"$173,806,822","$173,806,822"
